Wall time,Step,Value
1564430300.7612054,0,461.33404541015625
1564430345.6354473,1,96.29190063476562
1564430354.9079137,2,90.55210876464844
1564430364.234701,3,81.53396606445312
1564430373.4226406,4,75.90522766113281
1564430382.6194556,5,68.47380828857422
1564430391.839357,6,66.96015930175781
1564430401.1871881,7,66.53472900390625
1564430410.696516,8,62.52615737915039
1564430420.1622605,9,61.214656829833984
1564430429.5400887,10,61.24018859863281
1564430439.0590398,11,55.393314361572266
1564430448.6227462,12,56.61923599243164
1564430457.9967186,13,62.068504333496094
1564430467.4861465,14,61.95556640625
1564430477.3828037,15,53.19884490966797
1564430486.977585,16,52.93288803100586
1564430496.815716,17,53.019195556640625
1564430506.3751838,18,53.07727813720703
1564430516.150297,19,55.88421630859375
1564430525.9432313,20,49.71814727783203
1564430535.683396,21,52.07083511352539
1564430545.3959496,22,49.23008728027344
1564430555.3107235,23,50.22685241699219
1564430565.1185496,24,55.00060272216797
1564430575.04094,25,50.30405807495117
1564430584.9086146,26,55.52226638793945
