Wall time,Step,Value
1563313287.3637717,0,0.0005223635816946626
1563313299.71968,1,0.0001044132441165857
1563313311.977189,2,3.673057653941214e-05
1563313324.7644997,3,2.880336433008779e-05
1563313337.9236655,4,2.594139368738979e-05
1563313350.9181685,5,2.413856600469444e-05
1563313364.2446988,6,2.3055414203554392e-05
1563313376.84519,7,2.2247128072194755e-05
1563313390.1799476,8,2.174869950977154e-05
1563313402.4370255,9,2.135174690920394e-05
1563313415.580466,10,2.111137109750416e-05
1563313427.8739812,11,2.079448131553363e-05
1563313440.363556,12,2.058189238596242e-05
1563313453.256078,13,2.0148972907918505e-05
1563313465.3841128,14,2.0075825887033716e-05
1563313477.5070608,15,1.9874532881658524e-05
1563313489.6933436,16,1.9585146219469607e-05
1563313501.838877,17,1.9457098460406996e-05
1563313514.5813901,18,1.961408634088002e-05
1563313527.273119,19,1.9427856386755593e-05
1563313539.867625,20,1.9169581719324924e-05
1563313552.918209,21,1.9106812032987364e-05
1563313565.562196,22,1.916850305860862e-05
1563313578.5178227,23,1.895585228339769e-05
1563313591.131803,24,1.8977219951921143e-05
1563313604.0259025,25,1.8879865820053965e-05
1563313616.4333174,26,1.874419285741169e-05
