Wall time,Step,Value
1564430297.5310042,0,0.0019498447654768825
1564430345.1540122,1,0.0002775861939880997
1564430354.42051,2,8.301275374833494e-05
1564430363.744804,3,6.04667111474555e-05
1564430372.9357753,4,5.121922731632367e-05
1564430382.128112,5,4.529424768406898e-05
1564430391.3431084,6,4.1792667616391554e-05
1564430400.6937406,7,3.880010626744479e-05
1564430410.1918008,8,3.6448182072490454e-05
1564430419.6709,9,3.486349305603653e-05
1564430429.0517445,10,3.3323791285511106e-05
1564430438.5762093,11,3.2106701837619767e-05
1564430448.1149497,12,3.1913325074128807e-05
1564430457.4929416,13,3.096845466643572e-05
1564430466.9619844,14,3.000228934979532e-05
1564430476.8791852,15,2.9838602131349035e-05
1564430486.4694788,16,2.8881726393592544e-05
1564430496.3119817,17,2.86512695311103e-05
1564430505.8380504,18,2.8525284506031312e-05
1564430515.662348,19,2.8081898562959395e-05
1564430525.4516354,20,2.768591366475448e-05
1564430535.148927,21,2.7030966521124355e-05
1564430544.876345,22,2.7117024728795514e-05
1564430554.811725,23,2.695694456633646e-05
1564430564.579815,24,2.671392576303333e-05
1564430574.5196383,25,2.6523686756263487e-05
1564430584.360746,26,2.6174378945142962e-05
